date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-27,AC,Acrelândia,city,192,3,True,15256,1200013,1258.52124,0.0156
2020-06-27,AC,Assis Brasil,city,171,5,True,7417,1200054,2305.51436,0.0292
2020-06-27,AC,Brasiléia,city,320,6,True,26278,1200104,1217.74869,0.0187
2020-06-27,AC,Bujari,city,169,3,True,10266,1200138,1646.21079,0.0178
2020-06-27,AC,Capixaba,city,140,5,True,11733,1200179,1193.21572,0.0357
2020-06-27,AC,Cruzeiro do Sul,city,2020,33,True,88376,1200203,2285.68842,0.0163
2020-06-27,AC,Epitaciolândia,city,148,6,True,18411,1200252,803.86725,0.0405
2020-06-27,AC,Feijó,city,220,5,True,34780,1200302,632.54744,0.0227
2020-06-27,AC,Jordão,city,35,0,True,8317,1200328,420.82482,0.0
2020-06-27,AC,Mâncio Lima,city,136,3,True,18977,1200336,716.65701,0.0221
2020-06-27,AC,Manoel Urbano,city,49,0,True,9459,1200344,518.02516,0.0
2020-06-27,AC,Marechal Thaumaturgo,city,149,1,True,18867,1200351,789.7387,0.0067
2020-06-27,AC,Plácido de Castro,city,276,6,True,19761,1200385,1396.69045,0.0217
2020-06-27,AC,Porto Acre,city,253,6,True,18504,1200807,1367.27194,0.0237
2020-06-27,AC,Porto Walter,city,51,0,True,11982,1200393,425.63846,0.0
2020-06-27,AC,Rio Branco,city,6647,249,True,407319,1200401,1631.89048,0.0375
2020-06-27,AC,Rodrigues Alves,city,95,4,True,18930,1200427,501.84892,0.0421
2020-06-27,AC,Santa Rosa do Purus,city,149,1,True,6540,1200435,2278.28746,0.0067
2020-06-27,AC,Senador Guiomard,city,249,6,True,23024,1200450,1081.48019,0.0241
2020-06-27,AC,Sena Madureira,city,577,3,True,45848,1200500,1258.50637,0.0052
2020-06-27,AC,Tarauacá,city,647,3,True,42567,1200609,1519.95677,0.0046
2020-06-27,AC,Xapuri,city,220,3,True,19323,1200708,1138.53956,0.0136
2020-06-27,AL,Água Branca,city,24,0,True,20196,2700102,118.83541,0.0
2020-06-27,AL,Anadia,city,175,1,True,17545,2700201,997.43517,0.0057
2020-06-27,AL,Arapiraca,city,2437,31,True,231747,2700300,1051.5778,0.0127
2020-06-27,AL,Atalaia,city,413,7,True,47185,2700409,875.27816,0.0169
2020-06-27,AL,Barra de Santo Antônio,city,83,5,True,15932,2700508,520.9641,0.0602
2020-06-27,AL,Barra de São Miguel,city,89,3,True,8322,2700607,1069.45446,0.0337
2020-06-27,AL,Batalha,city,169,3,True,18232,2700706,926.94164,0.0178
2020-06-27,AL,Belém,city,23,1,True,4344,2700805,529.46593,0.0435
2020-06-27,AL,Belo Monte,city,12,0,True,6704,2700904,178.99761,0.0
2020-06-27,AL,Boca da Mata,city,445,8,True,27281,2701001,1631.17188,0.018
